date,year,month,day,day_of_week,draw_sequence,number,digit_1,digit_2,digit_3,sum,is_double,is_triple,has_payout_data,is_bonus_draw
2026-05-20,2026,5,20,Wednesday,1,454,4,5,4,13,True,False,True,False
2026-05-19,2026,5,19,Tuesday,1,124,1,2,4,7,False,False,True,False
2026-05-18,2026,5,18,Monday,1,489,4,8,9,21,False,False,True,False
2026-05-17,2026,5,17,Sunday,1,840,8,4,0,12,False,False,True,False
2026-05-16,2026,5,16,Saturday,1,775,7,7,5,19,True,False,True,False
2026-05-15,2026,5,15,Friday,1,791,7,9,1,17,False,False,True,False
2026-05-14,2026,5,14,Thursday,1,273,2,7,3,12,False,False,True,False
2026-05-13,2026,5,13,Wednesday,1,193,1,9,3,13,False,False,True,False
2026-05-12,2026,5,12,Tuesday,1,208,2,0,8,10,False,False,True,False
2026-05-11,2026,5,11,Monday,1,895,8,9,5,22,False,False,True,False
2026-05-10,2026,5,10,Sunday,1,372,3,7,2,12,False,False,True,False
2026-05-09,2026,5,9,Saturday,1,910,9,1,0,10,False,False,True,False
2026-05-08,2026,5,8,Friday,1,408,4,0,8,12,False,False,True,False
2026-05-07,2026,5,7,Thursday,1,016,0,1,6,7,False,False,True,False
2026-05-06,2026,5,6,Wednesday,1,631,6,3,1,10,False,False,True,False
2026-05-05,2026,5,5,Tuesday,1,339,3,3,9,15,True,False,True,False
2026-05-04,2026,5,4,Monday,1,712,7,1,2,10,False,False,True,False
2026-05-03,2026,5,3,Sunday,1,182,1,8,2,11,False,False,True,False
2026-05-02,2026,5,2,Saturday,1,073,0,7,3,10,False,False,True,False
2026-05-01,2026,5,1,Friday,1,790,7,9,0,16,False,False,True,False
2026-04-30,2026,4,30,Thursday,1,792,7,9,2,18,False,False,True,False
2026-04-29,2026,4,29,Wednesday,1,522,5,2,2,9,True,False,True,False
2026-04-28,2026,4,28,Tuesday,1,343,3,4,3,10,True,False,True,False
2026-04-27,2026,4,27,Monday,1,099,0,9,9,18,True,False,True,False
2026-04-26,2026,4,26,Sunday,1,020,0,2,0,2,True,False,True,False
2026-04-25,2026,4,25,Saturday,1,192,1,9,2,12,False,False,True,False
2026-04-24,2026,4,24,Friday,1,312,3,1,2,6,False,False,True,False
2026-04-23,2026,4,23,Thursday,1,070,0,7,0,7,True,False,True,False
2026-04-22,2026,4,22,Wednesday,1,451,4,5,1,10,False,False,True,False
2026-04-21,2026,4,21,Tuesday,1,995,9,9,5,23,True,False,True,False
2026-04-20,2026,4,20,Monday,1,816,8,1,6,15,False,False,True,False
2026-04-19,2026,4,19,Sunday,1,088,0,8,8,16,True,False,True,False
2026-04-18,2026,4,18,Saturday,1,044,0,4,4,8,True,False,True,False
2026-04-17,2026,4,17,Friday,1,948,9,4,8,21,False,False,True,False
2026-04-16,2026,4,16,Thursday,1,237,2,3,7,12,False,False,True,False
2026-04-15,2026,4,15,Wednesday,1,575,5,7,5,17,True,False,True,False
2026-04-14,2026,4,14,Tuesday,1,380,3,8,0,11,False,False,True,False
2026-04-13,2026,4,13,Monday,1,491,4,9,1,14,False,False,True,False
2026-04-12,2026,4,12,Sunday,1,241,2,4,1,7,False,False,True,False
2026-04-11,2026,4,11,Saturday,1,107,1,0,7,8,False,False,True,False
2026-04-10,2026,4,10,Friday,1,399,3,9,9,21,True,False,True,False
2026-04-09,2026,4,9,Thursday,1,664,6,6,4,16,True,False,True,False
2026-04-08,2026,4,8,Wednesday,1,065,0,6,5,11,False,False,True,False
2026-04-07,2026,4,7,Tuesday,1,330,3,3,0,6,True,False,True,False
2026-04-06,2026,4,6,Monday,1,428,4,2,8,14,False,False,True,False
2026-04-05,2026,4,5,Sunday,1,353,3,5,3,11,True,False,True,False
2026-04-04,2026,4,4,Saturday,1,348,3,4,8,15,False,False,True,False
2026-04-03,2026,4,3,Friday,1,008,0,0,8,8,True,False,True,False
2026-04-02,2026,4,2,Thursday,1,458,4,5,8,17,False,False,True,False
2026-04-01,2026,4,1,Wednesday,1,568,5,6,8,19,False,False,True,False
2026-03-31,2026,3,31,Tuesday,1,975,9,7,5,21,False,False,True,False
2026-03-30,2026,3,30,Monday,1,048,0,4,8,12,False,False,True,False
2026-03-29,2026,3,29,Sunday,1,404,4,0,4,8,True,False,True,False
2026-03-28,2026,3,28,Saturday,1,253,2,5,3,10,False,False,True,False
2026-03-27,2026,3,27,Friday,1,638,6,3,8,17,False,False,True,False
2026-03-26,2026,3,26,Thursday,1,313,3,1,3,7,True,False,True,False
2026-03-25,2026,3,25,Wednesday,1,885,8,8,5,21,True,False,True,False
2026-03-24,2026,3,24,Tuesday,1,711,7,1,1,9,True,False,True,False
2026-03-23,2026,3,23,Monday,1,126,1,2,6,9,False,False,True,False
